Country.Region,Province.State,1.22.20,1.23.20,1.24.20,1.25.20,1.26.20,1.27.20,1.28.20,1.29.20,1.30.20,1.31.20,2.1.20,2.2.20,2.3.20,2.4.20,2.5.20,2.6.20,2.7.20,2.8.20,2.9.20,2.10.20,2.11.20,2.12.20,2.13.20,2.14.20,2.15.20,2.16.20,2.17.20,2.18.20,2.19.20,2.20.20,2.21.20,2.22.20,2.23.20,2.24.20,2.25.20,2.26.20,2.27.20,2.28.20,2.29.20,3.1.20,3.2.20,3.3.20,3.4.20,3.5.20,3.6.20,3.7.20,3.8.20,3.9.20,3.10.20,3.11.20,3.12.20,3.13.20,3.14.20,3.15.20,3.16.20,3.17.20,3.18.20,3.19.20,3.20.20,3.21.20,3.22.20,3.23.20,3.24.20,3.25.20,3.26.20,3.27.20,3.28.20,3.29.20,3.30.20,3.31.20,4.1.20,4.2.20,4.3.20,4.4.20,4.5.20,4.6.20,4.7.20,4.8.20,4.9.20,4.10.20,4.11.20,4.12.20,4.13.20,4.14.20,4.15.20,4.16.20,4.17.20,4.18.20,4.19.20,4.20.20,4.21.20,4.22.20,4.23.20,4.24.20,4.25.20,4.26.20,4.27.20,4.28.20,4.29.20,4.30.20,5.1.20,5.2.20,5.3.20,5.4.20,5.5.20,5.6.20,5.7.20,5.8.20,5.9.20,5.10.20,5.11.20,5.12.20,5.13.2020,5.14.2020,5.15.2020,5.16.2020,5.17.2020,5.18.2020,5.19.2020,5.20.2020,5.21.2020,5.22.2020,5.23.2020,5.24.2020,5.25.2020,5.26.2020,5.27.2020,5.28.2020,5.29.2020,5.30.2020,5.31.2020,6.1.2020,6.2.2020,6.3.2020,6.4.2020,6.5.2020,6.6.2020,6.7.2020,6.8.2020,6.9.2020,6.10.2020,6.11.2020,6.12.2020,6.13.2020,6.14.2020,6.15.2020,6.16.2020,6.17.2020,6.18.2020,6.19.2020,6.20.2020,6.21.2020,6.22.2020,6.23.2020,6.24.2020,6.25.2020
Mexico,Jalisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,4,4,6,6,6,7,7,8,9,9,10,11,11,11,11,11,12,13,13,15,16,17,20,21,24,26,26,27,30,32,35,35,39,42,45,48,53,56,56,59,62,64,67,70,74,81,90,95,98,99,105,114,116,120,123,131,136,139,142,147,161,169,188,197,215,234,249,264,282,294,312,325,345,367,381,406,422,442,463,474,496,515,533,545,554,556,556
Mexico,Estado de Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,6,7,8,10,11,16,19,24,29,33,43,49,54,61,72,88,106,121,139,154,173,201,226,259,293,328,361,407,449,511,559,610,673,729,797,859,916,1001,1058,1112,1175,1233,1293,1357,1422,1475,1552,1621,1701,1779,1878,1959,2048,2121,2212,2300,2375,2471,2557,2652,2737,2812,2897,2988,3089,3185,3265,3368,3450,3531,3617,3707,3793,3891,3985,4081,4160,4246,4327,4421,4511,4602,4665,4744,4796,4847,4897,4922,4936,4937
Mexico,Michoacan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,5,5,6,7,8,9,9,13,14,15,17,17,18,20,24,24,25,28,30,34,37,38,41,46,51,53,54,55,59,64,64,66,70,74,77,80,82,88,98,101,107,113,117,125,134,144,151,155,164,175,181,193,201,203,207,213,221,227,232,244,251,260,267,275,280,289,297,306,318,332,348,362,380,388,397,405,413,419,424,426,426
Mexico,Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4,4,4,5,6,7,7,8,8,8,11,12,14,15,18,18,21,27,33,41,47,51,58,66,73,82,93,101,116,131,143,163,179,193,205,218,232,248,264,275,296,304,315,324,333,347,364,386,401,410,425,432,440,450,456,463,468,474,486,499,511,516,521,527,538,546,553,563,574,581,588,595,600,606,615,620,621,628,630,634,638,639,640,640
Mexico,Nayarit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,5,5,5,6,6,6,6,6,7,7,7,9,9,9,9,9,9,10,11,11,11,11,11,12,14,17,19,19,20,21,21,23,24,24,24,28,30,32,35,37,40,40,42,43,43,45,45,48,53,59,61,67,72,73,79,82,85,85,93,97,104,109,112,116,117,118,126,129,134,139,144,153,159,164,166,168,169,170
Mexico,Nuevo Leon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,5,5,5,5,5,5,6,6,6,7,7,7,8,9,9,11,12,13,14,15,17,19,21,22,24,27,29,31,34,36,38,38,41,44,47,51,55,58,61,64,67,71,76,82,85,88,90,91,100,105,109,113,119,122,124,128,130,136,146,149,155,158,163,169,175,180,190,200,205,216,226,236,245,253,258,267,273,275,280,280
Mexico,Oaxaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,5,6,6,7,8,9,10,14,15,15,16,19,19,20,24,25,26,28,32,35,39,43,48,52,54,58,63,69,75,83,86,93,100,111,116,119,126,134,148,159,167,177,184,197,212,227,239,248,254,266,270,282,298,314,336,356,366,382,407,417,430,450,467,476,483,488,499,508,516,521,523
Mexico,Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,5,6,9,12,16,24,25,27,32,37,39,42,46,48,53,58,65,71,78,81,86,91,96,100,107,112,124,132,139,150,154,167,178,189,197,207,213,218,222,235,249,261,274,290,301,309,315,332,353,369,394,415,430,453,468,483,503,519,538,554,583,609,630,660,678,710,734,754,780,802,818,845,877,902,929,954,975,999,1011,1030,1047,1070,1079,1080,1080
Mexico,Queretaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,4,5,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,12,13,14,15,17,18,20,20,20,20,24,26,29,30,32,36,44,52,53,56,61,70,72,77,80,85,90,96,98,104,106,112,117,123,128,138,141,148,155,158,165,167,175,182,191,195,202,206,210,213,216,219,222,226,229,232,232
Mexico,Quintana Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,5,6,8,10,11,12,14,16,19,22,24,26,30,35,38,38,39,43,49,56,66,74,80,87,103,113,123,137,146,158,169,183,188,196,202,209,218,226,231,240,248,254,266,273,284,294,300,305,315,323,327,333,338,341,351,357,363,369,375,383,390,396,407,414,417,422,429,438,450,455,462,470,474,480,486,492,496,500,505,510,515,520,527,535,539,541,544
Mexico,San Luis Potosi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,7,7,7,8,8,8,9,10,10,10,11,13,14,15,16,17,18,18,19,20,20,21,23,27,32,34,34,37,38,40,43,45,47,50,51,52,54,55,59,63,64,66,67,69,75,80,85,87,89,94,95,96,96,96,101,102,103,103,105,108,114,118,121,122
Mexico,Sinaloa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,6,9,11,16,16,17,20,26,33,43,51,58,66,71,77,80,85,90,94,105,111,119,126,132,143,153,162,170,181,190,206,212,221,233,253,259,272,283,287,294,306,321,325,341,357,371,387,404,419,431,455,469,488,502,519,535,561,582,602,619,645,669,693,729,753,784,807,832,859,877,897,914,950,966,986,1007,1030,1053,1075,1086,1100,1115,1129,1136,1139,1140
Mexico,Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,5,6,7,7,8,11,11,12,14,14,15,15,16,19,22,25,26,27,28,28,31,32,34,34,35,38,39,41,41,41,45,47,49,53,57,58,62,68,73,79,87,94,101,110,114,123,136,144,157,173,185,196,217,232,244,259,270,280,301,326,345,362,383,398,422,448,471,487,506,527,549,570,587,597,611,617,622,628,630,630
Mexico,Tabasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,8,11,11,12,13,13,14,16,20,25,28,31,41,50,58,66,69,79,89,97,107,117,123,132,141,151,168,181,193,207,213,228,239,261,274,286,299,310,322,336,360,377,392,406,422,443,462,484,505,522,533,552,568,582,598,624,635,657,676,692,707,724,732,747,761,774,790,802,818,833,849,868,887,896,911,922,928,944,953,957,961,961
Mexico,Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,4,5,5,6,6,6,10,10,10,13,14,17,18,20,21,21,24,26,29,30,31,32,35,39,44,47,51,55,58,61,66,68,71,71,75,79,81,86,90,93,98,102,104,108,118,120,127,136,142,148,155,160,162,164,169,176,183,192,197,206,212,229,243,251,261,270,276,281,286,296,298,299,300
Mexico,Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,5,5,5,6,6,8,8,10,12,13,14,16,18,22,26,31,34,36,39,40,46,50,53,55,62,63,64,74,83,87,89,97,106,112,115,120,123,127,129,132,143,146,150,154,160,162,162,171,178,187,192,202,206,211,215,223,230,243,250,253,257,258,261,266,267,272,274,279,287,290,291,291,291
Mexico,Veracruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,4,4,4,7,8,9,9,10,11,13,19,23,26,32,34,38,47,57,63,66,77,80,86,101,113,125,138,155,168,187,214,236,260,282,302,338,362,381,403,435,471,506,532,563,590,620,646,678,701,731,756,792,818,849,877,909,930,969,994,1025,1061,1095,1130,1155,1184,1207,1231,1266,1298,1317,1337,1360,1385,1403,1415,1421,1426,1426
Mexico,Yucatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,5,8,8,8,9,9,12,13,14,14,15,17,20,21,25,27,29,30,31,34,37,38,40,45,47,49,56,60,63,65,66,73,79,86,91,98,99,102,110,115,118,129,134,140,148,150,157,167,176,183,190,199,204,214,222,224,228,232,238,242,247,256,266,269,274,281,292,305,311,318,327,330,336,341,347,353,362,364
Mexico,Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,6,7,8,9,10,13,16,17,18,18,18,18,19,20,20,21,22,23,25,25,26,26,28,28,28,29,30,30,31,32,33,34,35,36,37,38,41,43,45,47,48,51,56,58,60,62,63,63,67,70,72,75,81,82,84,85,86,87,87,87
